Start Time, Mon Nov 7 12:54:06 GMT+0100 2022
Energy calibration,  Offset: 0, Slope: 2, Quadratic: 0
Live Time (s), 600
Real Time (s), 600.082092
Elapsed Computational, 0
Spectrum
Channel, Energy (keV), Counts
872, 1744, 4
873, 1746, 4
874, 1748, 4
875, 1750, 2
876, 1752, 2
877, 1754, 2
878, 1756, 3
879, 1758, 1
880, 1760, 0
881, 1762, 6
882, 1764, 2
883, 1766, 4
884, 1768, 0
885, 1770, 2
886, 1772, 3
887, 1774, 3
888, 1776, 2
889, 1778, 2
890, 1780, 9
891, 1782, 0
892, 1784, 6
893, 1786, 2
894, 1788, 7
895, 1790, 2
896, 1792, 2
897, 1794, 1
898, 1796, 2
899, 1798, 4
900, 1800, 2
901, 1802, 3
902, 1804, 4
903, 1806, 2
904, 1808, 4
905, 1810, 0
906, 1812, 3
907, 1814, 6
908, 1816, 2
909, 1818, 3
910, 1820, 2
911, 1822, 3
912, 1824, 5
913, 1826, 3
914, 1828, 2
915, 1830, 1
916, 1832, 1
917, 1834, 6
918, 1836, 2
919, 1838, 2
920, 1840, 4
921, 1842, 3
922, 1844, 1
923, 1846, 3
924, 1848, 7
925, 1850, 6
926, 1852, 2
927, 1854, 3
928, 1856, 2
929, 1858, 2
930, 1860, 4
931, 1862, 6
932, 1864, 2
933, 1866, 0
934, 1868, 2
935, 1870, 2
936, 1872, 3
937, 1874, 4
938, 1876, 0
939, 1878, 3
940, 1880, 2
941, 1882, 4
942, 1884, 7
943, 1886, 4
944, 1888, 4
945, 1890, 2
946, 1892, 3
947, 1894, 4
948, 1896, 3
949, 1898, 4
950, 1900, 5
951, 1902, 5
952, 1904, 4
953, 1906, 5
954, 1908, 3
955, 1910, 4
956, 1912, 4
957, 1914, 6
958, 1916, 2
959, 1918, 7
960, 1920, 3
961, 1922, 8
962, 1924, 5
963, 1926, 2
964, 1928, 1
965, 1930, 4
966, 1932, 2
967, 1934, 6
968, 1936, 7
969, 1938, 4
970, 1940, 8
971, 1942, 7
972, 1944, 5
973, 1946, 5
974, 1948, 4
975, 1950, 4
976, 1952, 4
977, 1954, 4
978, 1956, 4
979, 1958, 4
980, 1960, 7
981, 1962, 6
982, 1964, 4
983, 1966, 4
984, 1968, 4
985, 1970, 6
986, 1972, 9
987, 1974, 5
988, 1976, 5
989, 1978, 3
990, 1980, 7
991, 1982, 5
992, 1984, 6
993, 1986, 4
994, 1988, 5
995, 1990, 3
996, 1992, 7
997, 1994, 3
998, 1996, 1
999, 1998, 6
1000, 2000, 5
1001, 2002, 3
1002, 2004, 5
1003, 2006, 1
1004, 2008, 6
1005, 2010, 4
1006, 2012, 3
1007, 2014, 2
1008, 2016, 4
1009, 2018, 3
1010, 2020, 2
1011, 2022, 5
1012, 2024, 2
1013, 2026, 6
1014, 2028, 10
1015, 2030, 2
1016, 2032, 5
1017, 2034, 2
1018, 2036, 3
1019, 2038, 5
1020, 2040, 4
1021, 2042, 3
1022, 2044, 0
1023, 2046, 7
1024, 2048, 2
